PRODUKT;ERSTELLT;ZAHLUNGSSTATUS;METHODE;PLAN;FAeLLIGER BETRAG;WAeHRUNG;ZAHLUNGSPLAN;ZAHLUNGSPLAN ID;CAMPAIGN-ID;LAND
Fugmann's Trading Woche;03.03.2026 04:21;Aktiv;Kreditkarte;Abonnement;99,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579217;20260225-Finanzmarktwelt-YT-Channel-LP2;Schweiz
Fugmann's Trading Woche;03.03.2026 10:56;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;03.03.2026 11:03;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;03.03.2026 11:18;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;03.03.2026 12:32;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;03.03.2026 12:38;Aktiv;Google Pay;Abonnement;169,0;EUR;Halbjahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579237;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;03.03.2026 12:57;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;03.03.2026 13:02;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;03.03.2026 20:10;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;03.03.2026 20:24;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Schweiz
Fugmann's Trading Woche;03.03.2026 21:24;Aktiv;Kreditkarte;Abonnement;79,0;EUR;Quartals Mitgliedschaft;460229;20240928FMWYT;Deutschland
Fugmann's Trading Woche;04.03.2026 08:15;Aktiv;Sepa;Abonnement;79,0;EUR;Quartals Mitgliedschaft;460229;20241001FMWWSAT;Deutschland
Fugmann's Trading Woche;04.03.2026 09:08;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 15:40;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 19:49;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 19:49;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Oesterreich
Fugmann's Trading Woche;04.03.2026 19:50;Aktiv;Kreditkarte;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 19:51;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 20:00;Aktiv;Google Pay;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Schweiz
Fugmann's Trading Woche;04.03.2026 20:02;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 20:04;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 20:27;Aktiv;Kreditkarte;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 20:32;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Spanien
Fugmann's Trading Woche;04.03.2026 20:46;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 20:47;Aktiv;Sepa;Abonnement;297,0;EUR;Jahres Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);460228;20260225-LP2-YTC;Deutschland
Fugmann's Trading Woche;04.03.2026 20:59;Aktiv;Sepa;Abonnement;89,0;EUR;Quartals Mitgliedschaft (inklusive 30 Tage Geld-zurueck-Garantie);579212;20260225-LP2-YTC;Deutschland
